title,text-data,desktop-hidden 2,desktop-hidden 4
"Room for rent  in Roma Municipio II – Parioli/Nomentano, Italy",14 m2 room for rent in Roma Municipio II – Parioli/Nomentano,350 EUR,14 m2
"Apartment for rent  in Spoleto, Italy",65 m2 apartment for rent in Spoleto,700 EUR,65 m2
"Apartment for rent  in Lodi, Italy",35 m2 apartment for rent in Lodi,400 EUR,35 m2
"Apartment for rent  in Spoleto, Italy",14 m2 apartment for rent in Spoleto,550 EUR,14 m2
"Apartment for rent  in Bettona, Italy",100 m2 apartment for rent in Bettona,600 EUR,100 m2
"Apartment for rent  in Perugia, Italy",90 m2 apartment for rent in Perugia,550 EUR,90 m2
"Apartment for rent  in Messina, Italy",90 m2 apartment for rent in Messina,450 EUR,90 m2
"Apartment for rent  in Venetico, Italy",60 m2 apartment for rent in Venetico,10 EUR,60 m2
"Apartment for rent  in Aprilia, Italy",150 m2 apartment for rent in Aprilia,"1,000 EUR",150 m2
"Apartment for rent  in Roma Municipio VIII – Appia Antica, Italy",100 m2 apartment for rent in Roma Municipio VIII – Appia Antica,"1,300 EUR",100 m2
"Apartment for rent  in Messina, Italy",340 m2 apartment for rent in Messina,"2,800 EUR",340 m2
"Apartment for rent  in Collegno, Italy",55 m2 apartment for rent in Collegno,470 EUR,55 m2
"Apartment for rent  in Anzio, Italy",50 m2 apartment for rent in Anzio,500 EUR,50 m2
"Apartment for rent  in Miranda, Italy",70 m2 apartment for rent in Miranda,800 EUR,70 m2
"Apartment for rent  in Cassino, Italy",70 m2 apartment for rent in Cassino,700 EUR,70 m2
"Apartment for rent  in Palermo, Italy",140 m2 apartment for rent in Palermo,850 EUR,140 m2
"Apartment for rent  in Roma Municipio XIV – Monte Mario, Italy",100 m2 apartment for rent in Roma Municipio XIV – Monte Mario,"1,000 EUR",100 m2
"Apartment for rent  in Roma Municipio IX – EUR, Italy",50 m2 apartment for rent in Roma Municipio IX – EUR,"1,100 EUR",50 m2
"Apartment for rent  in Spoleto, Italy",35 m2 apartment for rent in Spoleto,700 EUR,35 m2
"Apartment for rent  in Viale, Italy",60 m2 apartment for rent in Viale,650 EUR,60 m2
"Apartment for rent  in Spoleto, Italy",50 m2 apartment for rent in Spoleto,"1,050 EUR",50 m2
"Apartment for rent  in Spoleto, Italy",75 m2 apartment for rent in Spoleto,"1,200 EUR",75 m2
"Apartment for rent  in Spoleto, Italy",40 m2 apartment for rent in Spoleto,"1,050 EUR",40 m2
"Apartment for rent  in Messina, Italy",100 m2 apartment for rent in Messina,600 EUR,100 m2
"Apartment for rent  in Turin, Italy",50 m2 apartment for rent in Turin,400 EUR,50 m2
"Apartment for rent  in Catanzaro, Italy",200 m2 apartment for rent in Catanzaro,900 EUR,200 m2
"Apartment for rent  in Ugento, Italy",50 m2 apartment for rent in Ugento,850 EUR,50 m2
"Apartment for rent  in Spoleto, Italy",118 m2 apartment for rent in Spoleto,"1,542 EUR",118 m2
"Apartment for rent  in Napoli Municipalità 4, Italy",40 m2 apartment for rent in Napoli Municipalità 4,480 EUR,40 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",130 m2 apartment for rent in Milano Zona 1 - Centro storico,"2,050 EUR",130 m2
"Apartment for rent  in Genoa, Italy",85 m2 apartment for rent in Genoa,450 EUR,85 m2
"Apartment for rent  in Spoleto, Italy",70 m2 apartment for rent in Spoleto,950 EUR,70 m2
"Apartment for rent  in Spoleto, Italy",85 m2 apartment for rent in Spoleto,"1,450 EUR",85 m2
"Apartment for rent  in Genoa, Italy",78 m2 apartment for rent in Genoa,580 EUR,78 m2
"Apartment for rent  in Genoa, Italy",78 m2 apartment for rent in Genoa,600 EUR,78 m2
"Apartment for rent  in Bologna, Italy",55 m2 apartment for rent in Bologna,850 EUR,55 m2
"Apartment for rent  in Milano Zona 7 - Baggio, De Angeli, San Siro, Italy","95 m2 apartment for rent in Milano Zona 7 - Baggio, De Angeli, San Siro","1,783 EUR",95 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",120 m2 apartment for rent in Milano Zona 1 - Centro storico,"2,300 EUR",120 m2
"Apartment for rent  in Turin, Italy",120 m2 apartment for rent in Turin,"1,000 EUR",120 m2
"Room for rent  in Roma Municipio I – Centro Storico, Italy",65 m2 room for rent in Roma Municipio I – Centro Storico,"1,440 EUR",65 m2
"Room for rent  in Lodi, Italy",110 m2 room for rent in Lodi,"1,450 EUR",110 m2
"Room for rent  in Lodi, Italy",13 m2 room for rent in Lodi,500 EUR,13 m2
"Apartment for rent  in Turin, Italy",110 m2 apartment for rent in Turin,960 EUR,110 m2
"Room for rent  in Roma Municipio III – Monte Sacro, Italy",60 m2 room for rent in Roma Municipio III – Monte Sacro,800 EUR,60 m2
"Room for rent  in Roma Municipio I – Centro Storico, Italy",16 m2 room for rent in Roma Municipio I – Centro Storico,430 EUR,16 m2
"Room for rent  in Roma Municipio I – Centro Storico, Italy",17 m2 room for rent in Roma Municipio I – Centro Storico,450 EUR,17 m2
"Apartment for rent  in Spoleto, Italy",90 m2 apartment for rent in Spoleto,"1,500 EUR",90 m2
"Apartment for rent  in Florence, Italy",8 m2 apartment for rent in Florence,300 EUR,8 m2
"Apartment for rent  in Florence, Italy",12 m2 apartment for rent in Florence,250 EUR,12 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",60 m2 apartment for rent in Milano Zona 1 - Centro storico,"1,300 EUR",60 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",85 m2 apartment for rent in Milano Zona 1 - Centro storico,"2,916 EUR",85 m2
"Apartment for rent  in Florence, Italy",65 m2 apartment for rent in Florence,750 EUR,65 m2
"Room for rent  in Roma Municipio I – Centro Storico, Italy",60 m2 room for rent in Roma Municipio I – Centro Storico,"1,600 EUR",60 m2
"Room for rent  in Roma Municipio V – Prenestino/Centocelle, Italy",70 m2 room for rent in Roma Municipio V – Prenestino/Centocelle,950 EUR,70 m2
"Apartment for rent  in Palermo, Italy",Apartment for rent in Palermo,"1,200 EUR",N/A
"Apartment for rent  in Florence, Italy",Apartment for rent in Florence,780 EUR,N/A
"Apartment for rent  in Florence, Italy",Apartment for rent in Florence,750 EUR,N/A
"Apartment for rent  in Spoleto, Italy",35 m2 apartment for rent in Spoleto,950 EUR,35 m2
"Apartment for rent  in Roma Municipio XIII – Aurelia, Italy",50 m2 apartment for rent in Roma Municipio XIII – Aurelia,850 EUR,50 m2
"Apartment for rent  in Spoleto, Italy",50 m2 apartment for rent in Spoleto,950 EUR,50 m2
"Apartment for rent  in Carmagnola, Italy",32 m2 apartment for rent in Carmagnola,260 EUR,32 m2
"Apartment for rent  in Savigliano, Italy",65 m2 apartment for rent in Savigliano,500 EUR,65 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",95 m2 apartment for rent in Roma Municipio IV – Tiburtino,"1,100 EUR",95 m2
"Apartment for rent  in Arenella, Italy",100 m2 apartment for rent in Arenella,820 EUR,100 m2
"Apartment for rent  in Napoli Municipalità 2, Italy",82 m2 apartment for rent in Napoli Municipalità 2,"1,200 EUR",82 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",40 m2 apartment for rent in Roma Municipio IV – Tiburtino,650 EUR,40 m2
"Apartment for rent  in Roma Municipio XIV – Monte Mario, Italy",53 m2 apartment for rent in Roma Municipio XIV – Monte Mario,900 EUR,53 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",116 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,"1,500 EUR",116 m2
"Apartment for rent  in Vilminore di Scalve, Italy",80 m2 apartment for rent in Vilminore di Scalve,700 EUR,80 m2
"Apartment for rent  in Vilminore di Scalve, Italy",80 m2 apartment for rent in Vilminore di Scalve,700 EUR,80 m2
"Apartment for rent  in Milano Zona 6 - Barona, Lorenteggio, Italy","48 m2 apartment for rent in Milano Zona 6 - Barona, Lorenteggio","1,000 EUR",48 m2
"Apartment for rent  in Milano Zona 4 - Vittoria, Forlanini, Italy","90 m2 apartment for rent in Milano Zona 4 - Vittoria, Forlanini","1,580 EUR",90 m2
"Apartment for rent  in Florence, Italy",64 m2 apartment for rent in Florence,645 EUR,64 m2
"Apartment for rent  in Florence, Italy",52 m2 apartment for rent in Florence,750 EUR,52 m2
"Apartment for rent  in Trieste, Italy",45 m2 apartment for rent in Trieste,500 EUR,45 m2
"Apartment for rent  in Turin, Italy",47 m2 apartment for rent in Turin,354 EUR,47 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",77 m2 apartment for rent in Milano Zona 1 - Centro storico,"3,334 EUR",77 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",78 m2 apartment for rent in Milano Zona 1 - Centro storico,"3,000 EUR",78 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",180 m2 apartment for rent in Milano Zona 1 - Centro storico,"4,667 EUR",180 m2
"Apartment for rent  in Nichelino, Italy",50 m2 apartment for rent in Nichelino,420 EUR,50 m2
"Apartment for rent  in Nichelino, Italy",60 m2 apartment for rent in Nichelino,400 EUR,60 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",290 m2 apartment for rent in Roma Municipio I – Centro Storico,"6,400 EUR",290 m2
"Apartment for rent  in Roma Municipio XV – Cassia/Flaminia, Italy",90 m2 apartment for rent in Roma Municipio XV – Cassia/Flaminia,"1,500 EUR",90 m2
"Apartment for rent  in Roma Municipio XV – Cassia/Flaminia, Italy",220 m2 apartment for rent in Roma Municipio XV – Cassia/Flaminia,"3,500 EUR",220 m2
"Apartment for rent  in Roma Municipio XV – Cassia/Flaminia, Italy",190 m2 apartment for rent in Roma Municipio XV – Cassia/Flaminia,"2,500 EUR",190 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",120 m2 apartment for rent in Roma Municipio I – Centro Storico,"4,500 EUR",120 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",50 m2 apartment for rent in Milano Zona 1 - Centro storico,"1,200 EUR",50 m2
"Apartment for rent  in Massa Lubrense, Italy",30 m2 apartment for rent in Massa Lubrense,50 EUR,30 m2
"Apartment for rent  in Turin, Italy",140 m2 apartment for rent in Turin,720 EUR,140 m2
"Apartment for rent  in Napoli Municipalità 4, Italy",80 m2 apartment for rent in Napoli Municipalità 4,700 EUR,80 m2
"Apartment for rent  in Roma Municipio VI – Roma Delle Torri, Italy",55 m2 apartment for rent in Roma Municipio VI – Roma Delle Torri,550 EUR,55 m2
"Apartment for rent  in Roma Municipio XI – Arvalia/Portuense, Italy",72 m2 apartment for rent in Roma Municipio XI – Arvalia/Portuense,"1,060 EUR",72 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",70 m2 apartment for rent in Roma Municipio IV – Tiburtino,750 EUR,70 m2
"Apartment for rent  in Roma Municipio VI – Roma Delle Torri, Italy",60 m2 apartment for rent in Roma Municipio VI – Roma Delle Torri,560 EUR,60 m2
"Apartment for rent  in Florence, Italy",80 m2 apartment for rent in Florence,"1,600 EUR",80 m2
"Apartment for rent  in Florence, Italy",100 m2 apartment for rent in Florence,"1,500 EUR",100 m2
"Room for rent  in Milano Zona 6 - Barona, Lorenteggio, Italy","18 m2 room for rent in Milano Zona 6 - Barona, Lorenteggio",680 EUR,18 m2
"Room for rent  in Milano Zona 6 - Barona, Lorenteggio, Italy","16 m2 room for rent in Milano Zona 6 - Barona, Lorenteggio",760 EUR,16 m2
"Room for rent  in Milano Zona 3 - Porta Venezia, Città Studi, Lambrate, Italy","23 m2 room for rent in Milano Zona 3 - Porta Venezia, Città Studi, Lambrate",790 EUR,23 m2
"Room for rent  in Milano Zona 6 - Barona, Lorenteggio, Italy","9 m2 room for rent in Milano Zona 6 - Barona, Lorenteggio",600 EUR,9 m2
"Room for rent  in Milano Zona 1 - Centro storico, Italy",11 m2 room for rent in Milano Zona 1 - Centro storico,680 EUR,11 m2
"Room for rent  in Milano Zona 1 - Centro storico, Italy",12 m2 room for rent in Milano Zona 1 - Centro storico,870 EUR,12 m2
"Room for rent  in Milano Zona 4 - Vittoria, Forlanini, Italy","18 m2 room for rent in Milano Zona 4 - Vittoria, Forlanini",640 EUR,18 m2
"Room for rent  in Milano Zona 9 - Porta Garibaldi, Niguarda, Italy","12 m2 room for rent in Milano Zona 9 - Porta Garibaldi, Niguarda",720 EUR,12 m2
"Apartment for rent  in Arzano, Italy",115 m2 apartment for rent in Arzano,650 EUR,115 m2
"Apartment for rent  in Roma Municipio VIII – Appia Antica, Italy",57 m2 apartment for rent in Roma Municipio VIII – Appia Antica,700 EUR,57 m2
"Apartment for rent  in Roma Municipio VIII – Appia Antica, Italy",55 m2 apartment for rent in Roma Municipio VIII – Appia Antica,750 EUR,55 m2
"Apartment for rent  in Roma Municipio XIV – Monte Mario, Italy",70 m2 apartment for rent in Roma Municipio XIV – Monte Mario,800 EUR,70 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",80 m2 apartment for rent in Roma Municipio IV – Tiburtino,890 EUR,80 m2
"Apartment for rent  in Roma Municipio X – Ostia/Acilia, Italy",64 m2 apartment for rent in Roma Municipio X – Ostia/Acilia,950 EUR,64 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",75 m2 apartment for rent in Roma Municipio I – Centro Storico,950 EUR,75 m2
"Apartment for rent  in Roma Municipio VIII – Appia Antica, Italy",70 m2 apartment for rent in Roma Municipio VIII – Appia Antica,"1,000 EUR",70 m2
"Apartment for rent  in Genoa, Italy",120 m2 apartment for rent in Genoa,"1,000 EUR",120 m2
"Apartment for rent  in Roma Municipio VIII – Appia Antica, Italy",70 m2 apartment for rent in Roma Municipio VIII – Appia Antica,"1,200 EUR",70 m2
"Apartment for rent  in Borgone Susa, Italy",50 m2 apartment for rent in Borgone Susa,"1,200 EUR",50 m2
"Apartment for rent  in Salò, Italy",90 m2 apartment for rent in Salò,"1,200 EUR",90 m2
"Apartment for rent  in Roma Municipio XII – Monte Verde, Italy",130 m2 apartment for rent in Roma Municipio XII – Monte Verde,"1,200 EUR",130 m2
"Apartment for rent  in Chiaia, Italy",160 m2 apartment for rent in Chiaia,"1,500 EUR",160 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",110 m2 apartment for rent in Roma Municipio I – Centro Storico,"1,700 EUR",110 m2
"Apartment for rent  in Cannobio, Italy",140 m2 apartment for rent in Cannobio,"1,700 EUR",140 m2
"Apartment for rent  in Roma Municipio XIV – Monte Mario, Italy",171 m2 apartment for rent in Roma Municipio XIV – Monte Mario,"1,800 EUR",171 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",87 m2 apartment for rent in Roma Municipio I – Centro Storico,"1,900 EUR",87 m2
"Apartment for rent  in Bari, Italy",150 m2 apartment for rent in Bari,"2,000 EUR",150 m2
"House for rent  in Montecchio Maggiore, Italy",120 m2 house for rent in Montecchio Maggiore,"2,500 EUR",120 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",120 m2 apartment for rent in Milano Zona 1 - Centro storico,"2,700 EUR",120 m2
"House for rent  in Guardiagrele, Italy",120 m2 house for rent in Guardiagrele,"6,720 EUR",120 m2
"Apartment for rent  in Florence, Italy",133 m2 apartment for rent in Florence,"2,500 EUR",133 m2
"Apartment for rent  in Novara, Italy",50 m2 apartment for rent in Novara,620 EUR,50 m2
"Apartment for rent  in Bologna, Italy",65 m2 apartment for rent in Bologna,980 EUR,65 m2
"Apartment for rent  in Pescara, Italy",50 m2 apartment for rent in Pescara,450 EUR,50 m2
"Apartment for rent  in Florence, Italy",55 m2 apartment for rent in Florence,"1,050 EUR",55 m2
"Apartment for rent  in Florence, Italy",61 m2 apartment for rent in Florence,"1,550 EUR",61 m2
"Apartment for rent  in Florence, Italy",150 m2 apartment for rent in Florence,"1,500 EUR",150 m2
"Apartment for rent  in Milano Zona 5 - Vigentino, Chiaravalle, Gratosoglio, Italy","41 m2 apartment for rent in Milano Zona 5 - Vigentino, Chiaravalle, Gratosoglio",980 EUR,41 m2
"Apartment for rent  in Florence, Italy",51 m2 apartment for rent in Florence,Not specified,51 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",32 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,"1,100 EUR",32 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",40 m2 apartment for rent in Roma Municipio IV – Tiburtino,650 EUR,40 m2
"Apartment for rent  in Roma Municipio IX – EUR, Italy",75 m2 apartment for rent in Roma Municipio IX – EUR,850 EUR,75 m2
"House for rent  in Roma Municipio XIII – Aurelia, Italy",280 m2 house for rent in Roma Municipio XIII – Aurelia,"2,500 EUR",280 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",45 m2 apartment for rent in Roma Municipio IV – Tiburtino,700 EUR,45 m2
"Apartment for rent  in Roma Municipio IX – EUR, Italy",90 m2 apartment for rent in Roma Municipio IX – EUR,980 EUR,90 m2
"Apartment for rent  in Roma Municipio X – Ostia/Acilia, Italy",82 m2 apartment for rent in Roma Municipio X – Ostia/Acilia,800 EUR,82 m2
"Apartment for rent  in Roma Municipio VII – Appio-Latino/Tuscolano/Cinecittà, Italy",100 m2 apartment for rent in Roma Municipio VII – Appio-Latino/Tuscolano/Cinecittà,850 EUR,100 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",56 m2 apartment for rent in Milano Zona 1 - Centro storico,"1,288 EUR",56 m2
"Apartment for rent  in Milano Zona 2 - Stazione Centrale, Gorla, Turro, Greco, Crescenzago, Italy","50 m2 apartment for rent in Milano Zona 2 - Stazione Centrale, Gorla, Turro, Greco, Crescenzago","1,000 EUR",50 m2
"Apartment for rent  in Milano Zona 2 - Stazione Centrale, Gorla, Turro, Greco, Crescenzago, Italy","30 m2 apartment for rent in Milano Zona 2 - Stazione Centrale, Gorla, Turro, Greco, Crescenzago",700 EUR,30 m2
"Apartment for rent  in Spoleto, Italy",60 m2 apartment for rent in Spoleto,"1,300 EUR",60 m2
"Apartment for rent  in Florence, Italy",75 m2 apartment for rent in Florence,850 EUR,75 m2
"House for rent  in Florence, Italy",190 m2 house for rent in Florence,"3,000 EUR",190 m2
"Apartment for rent  in Florence, Italy",85 m2 apartment for rent in Florence,"1,200 EUR",85 m2
"Apartment for rent  in Florence, Italy",50 m2 apartment for rent in Florence,"1,200 EUR",50 m2
"Room for rent  in Milano Zona 6 - Barona, Lorenteggio, Italy","12 m2 room for rent in Milano Zona 6 - Barona, Lorenteggio",630 EUR,12 m2
"Room for rent  in Milano Zona 5 - Vigentino, Chiaravalle, Gratosoglio, Italy","19 m2 room for rent in Milano Zona 5 - Vigentino, Chiaravalle, Gratosoglio",880 EUR,19 m2
"Room for rent  in Milano Zona 1 - Centro storico, Italy",13 m2 room for rent in Milano Zona 1 - Centro storico,800 EUR,13 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",200 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,"5,000 EUR",200 m2
"Apartment for rent  in Siena, Italy",15 m2 apartment for rent in Siena,330 EUR,15 m2
"Apartment for rent  in Siena, Italy",14 m2 apartment for rent in Siena,300 EUR,14 m2
"Apartment for rent  in Barcellona Pozzo di Gotto, Italy",95 m2 apartment for rent in Barcellona Pozzo di Gotto,350 EUR,95 m2
"Apartment for rent  in Prunetto, Italy",50 m2 apartment for rent in Prunetto,900 EUR,50 m2
"Apartment for rent  in Siena, Italy",25 m2 apartment for rent in Siena,350 EUR,25 m2
"Apartment for rent  in Messina, Italy",150 m2 apartment for rent in Messina,650 EUR,150 m2
"Apartment for rent  in Roma Municipio XIII – Aurelia, Italy",70 m2 apartment for rent in Roma Municipio XIII – Aurelia,800 EUR,70 m2
"Apartment for rent  in Siena, Italy",13 m2 apartment for rent in Siena,200 EUR,13 m2
"Apartment for rent  in Siena, Italy",55 m2 apartment for rent in Siena,600 EUR,55 m2
"Apartment for rent  in Siena, Italy",95 m2 apartment for rent in Siena,850 EUR,95 m2
"Apartment for rent  in Siena, Italy",26 m2 apartment for rent in Siena,360 EUR,26 m2
"Apartment for rent  in Cassino, Italy",70 m2 apartment for rent in Cassino,400 EUR,70 m2
"Apartment for rent  in Fiumicino, Italy",65 m2 apartment for rent in Fiumicino,680 EUR,65 m2
"Apartment for rent  in Fiumicino, Italy",65 m2 apartment for rent in Fiumicino,680 EUR,65 m2
"Apartment for rent  in Giugliano in Campania, Italy",120 m2 apartment for rent in Giugliano in Campania,550 EUR,120 m2
"Apartment for rent  in Casoria, Italy",110 m2 apartment for rent in Casoria,750 EUR,110 m2
"Apartment for rent  in Menaggio, Italy",350 m2 apartment for rent in Menaggio,"10,000 EUR",350 m2
"Apartment for rent  in Perugia, Italy",45 m2 apartment for rent in Perugia,350 EUR,45 m2
"Apartment for rent  in Siena, Italy",90 m2 apartment for rent in Siena,800 EUR,90 m2
"Apartment for rent  in Siracusa, Italy",120 m2 apartment for rent in Siracusa,750 EUR,120 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",80 m2 apartment for rent in Roma Municipio I – Centro Storico,"3,000 EUR",80 m2
"Apartment for rent  in Spoleto, Italy",35 m2 apartment for rent in Spoleto,800 EUR,35 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",45 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,"1,300 EUR",45 m2
"Apartment for rent  in Bologna, Italy",97 m2 apartment for rent in Bologna,"1,600 EUR",97 m2
"Apartment for rent  in Spoleto, Italy",148 m2 apartment for rent in Spoleto,Not specified,148 m2
"Apartment for rent  in Perugia, Italy",75 m2 apartment for rent in Perugia,670 EUR,75 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",88 m2 apartment for rent in Milano Zona 1 - Centro storico,"3,500 EUR",88 m2
"Room for rent  in Milano Zona 5 - Vigentino, Chiaravalle, Gratosoglio, Italy","10 m2 room for rent in Milano Zona 5 - Vigentino, Chiaravalle, Gratosoglio",560 EUR,10 m2
"Apartment for rent  in Lucca, Italy",65 m2 apartment for rent in Lucca,695 EUR,65 m2
"Apartment for rent  in Florence, Italy",50 m2 apartment for rent in Florence,650 EUR,50 m2
"Room for rent  in Milano Zona 6 - Barona, Lorenteggio, Italy","10 m2 room for rent in Milano Zona 6 - Barona, Lorenteggio",605 EUR,10 m2
"Apartment for rent  in Farini, Italy",310 m2 apartment for rent in Farini,"10,000 EUR",310 m2
"Apartment for rent  in Bologna, Italy",60 m2 apartment for rent in Bologna,"1,000 EUR",60 m2
"Apartment for rent  in Bologna, Italy",65 m2 apartment for rent in Bologna,"1,200 EUR",65 m2
"Apartment for rent  in Turin, Italy",45 m2 apartment for rent in Turin,600 EUR,45 m2
"Apartment for rent  in Venaria Reale, Italy",30 m2 apartment for rent in Venaria Reale,350 EUR,30 m2
"Apartment for rent  in Roma Municipio XII – Monte Verde, Italy",140 m2 apartment for rent in Roma Municipio XII – Monte Verde,"1,800 EUR",140 m2
"Apartment for rent  in Roma Municipio XII – Monte Verde, Italy",140 m2 apartment for rent in Roma Municipio XII – Monte Verde,"1,800 EUR",140 m2
"Apartment for rent  in San Pietro in Casale, Italy",25 m2 apartment for rent in San Pietro in Casale,450 EUR,25 m2
"Apartment for rent  in Palermo, Italy",50 m2 apartment for rent in Palermo,580 EUR,50 m2
"Apartment for rent  in Soccavo, Italy",60 m2 apartment for rent in Soccavo,700 EUR,60 m2
"Apartment for rent  in Napoli Municipalità 5, Italy",55 m2 apartment for rent in Napoli Municipalità 5,730 EUR,55 m2
"Apartment for rent  in Napoli Municipalità 3, Italy",50 m2 apartment for rent in Napoli Municipalità 3,750 EUR,50 m2
"Apartment for rent  in Polla, Italy",90 m2 apartment for rent in Polla,"2,400 EUR",90 m2
"Apartment for rent  in Polla, Italy",70 m2 apartment for rent in Polla,"2,050 EUR",70 m2
"Apartment for rent  in Alto, Italy",80 m2 apartment for rent in Alto,900 EUR,80 m2
"Apartment for rent  in Polla, Italy",132 m2 apartment for rent in Polla,"3,000 EUR",132 m2
"Apartment for rent  in Piscinola, Italy",120 m2 apartment for rent in Piscinola,650 EUR,120 m2
"Apartment for rent  in Chiaia, Italy",159 m2 apartment for rent in Chiaia,"1,500 EUR",159 m2
"Apartment for rent  in Palermo, Italy",85 m2 apartment for rent in Palermo,590 EUR,85 m2
"Apartment for rent  in Parabiago, Italy",62 m2 apartment for rent in Parabiago,650 EUR,62 m2
"Apartment for rent  in Catania, Italy",70 m2 apartment for rent in Catania,850 EUR,70 m2
"Apartment for rent  in Roma Municipio XIII – Aurelia, Italy",70 m2 apartment for rent in Roma Municipio XIII – Aurelia,850 EUR,70 m2
"Apartment for rent  in Roma Municipio VIII – Appia Antica, Italy",60 m2 apartment for rent in Roma Municipio VIII – Appia Antica,950 EUR,60 m2
"Apartment for rent  in Giarre, Italy",170 m2 apartment for rent in Giarre,950 EUR,170 m2
"Apartment for rent  in Fiumicino, Italy",65 m2 apartment for rent in Fiumicino,"1,200 EUR",65 m2
"Apartment for rent  in Bari, Italy",232 m2 apartment for rent in Bari,"1,800 EUR",232 m2
